,총 주차대수,난방,주소(도로),주소(지번),층 수,용적률,건폐율,평형대,건설사,관리사무소,경도,위도,0.공급/전용,0.방수/욕실수,0.해당면적 세대수,0.현관구조,1.공급/전용,1.방수/욕실수,1.해당면적 세대수,1.현관구조,2.공급/전용,2.방수/욕실수,2.해당면적 세대수,2.현관구조,3.공급/전용,3.방수/욕실수,3.해당면적 세대수,3.현관구조,articleName,4.공급/전용,4.방수/욕실수,4.해당면적 세대수,4.현관구조,5.공급/전용,5.방수/욕실수,5.해당면적 세대수,5.현관구조,6.공급/전용,6.방수/욕실수,6.해당면적 세대수,6.현관구조,7.공급/전용,7.방수/욕실수,7.해당면적 세대수,7.현관구조,8.공급/전용,8.방수/욕실수,8.해당면적 세대수,8.현관구조,9.공급/전용,9.방수/욕실수,9.해당면적 세대수,9.현관구조,10.공급/전용,10.방수/욕실수,10.해당면적 세대수,10.현관구조,11.공급/전용,11.방수/욕실수,11.해당면적 세대수,11.현관구조,12.공급/전용,12.방수/욕실수,12.해당면적 세대수,12.현관구조,13.공급/전용,13.방수/욕실수,13.해당면적 세대수,13.현관구조,14.공급/전용,14.방수/욕실수,14.해당면적 세대수,14.현관구조,15.공급/전용,15.방수/욕실수,15.해당면적 세대수,15.현관구조,16.공급/전용,16.방수/욕실수,16.해당면적 세대수,16.현관구조,17.공급/전용,17.방수/욕실수,17.해당면적 세대수,17.현관구조,18.공급/전용,18.방수/욕실수,18.해당면적 세대수,18.현관구조,19.공급/전용,19.방수/욕실수,19.해당면적 세대수,19.현관구조,20.공급/전용,20.방수/욕실수,20.해당면적 세대수,20.현관구조,21.공급/전용,21.방수/욕실수,21.해당면적 세대수,21.현관구조,22.공급/전용,22.방수/욕실수,22.해당면적 세대수,22.현관구조,23.공급/전용,23.방수/욕실수,23.해당면적 세대수,23.현관구조,24.공급/전용,24.방수/욕실수,24.해당면적 세대수,24.현관구조,25.공급/전용,25.방수/욕실수,25.해당면적 세대수,25.현관구조,26.공급/전용,26.방수/욕실수,26.해당면적 세대수,26.현관구조,27.공급/전용,27.방수/욕실수,27.해당면적 세대수,27.현관구조,28.공급/전용,28.방수/욕실수,28.해당면적 세대수,28.현관구조,29.공급/전용,29.방수/욕실수,29.해당면적 세대수,29.현관구조,30.공급/전용,30.방수/욕실수,30.해당면적 세대수,30.현관구조,31.공급/전용,31.방수/욕실수,31.해당면적 세대수,31.현관구조,32.공급/전용,32.방수/욕실수,32.해당면적 세대수,32.현관구조,33.공급/전용,33.방수/욕실수,33.해당면적 세대수,33.현관구조,34.공급/전용,34.방수/욕실수,34.해당면적 세대수,34.현관구조,35.공급/전용,35.방수/욕실수,35.해당면적 세대수,35.현관구조,36.공급/전용,36.방수/욕실수,36.해당면적 세대수,36.현관구조,37.공급/전용,37.방수/욕실수,37.해당면적 세대수,37.현관구조,38.공급/전용,38.방수/욕실수,38.해당면적 세대수,38.현관구조,39.공급/전용,39.방수/욕실수,39.해당면적 세대수,39.현관구조,40.공급/전용,40.방수/욕실수,40.해당면적 세대수,40.현관구조,41.공급/전용,41.방수/욕실수,41.해당면적 세대수,41.현관구조,42.공급/전용,42.방수/욕실수,42.해당면적 세대수,42.현관구조,43.공급/전용,43.방수/욕실수,43.해당면적 세대수,43.현관구조,44.공급/전용,44.방수/욕실수,44.해당면적 세대수,44.현관구조,45.공급/전용,45.방수/욕실수,45.해당면적 세대수,45.현관구조,46.공급/전용,46.방수/욕실수,46.해당면적 세대수,46.현관구조,47.공급/전용,47.방수/욕실수,47.해당면적 세대수,47.현관구조,48.공급/전용,48.방수/욕실수,48.해당면적 세대수,48.현관구조,49.공급/전용,49.방수/욕실수,49.해당면적 세대수,49.현관구조,50.공급/전용,50.방수/욕실수,50.해당면적 세대수,50.현관구조,51.공급/전용,51.방수/욕실수,51.해당면적 세대수,51.현관구조,52.공급/전용,52.방수/욕실수,52.해당면적 세대수,52.현관구조,53.공급/전용,53.방수/욕실수,53.해당면적 세대수,53.현관구조,54.공급/전용,54.방수/욕실수,54.해당면적 세대수,54.현관구조,55.공급/전용,55.방수/욕실수,55.해당면적 세대수,55.현관구조,56.공급/전용,56.방수/욕실수,56.해당면적 세대수,56.현관구조,57.공급/전용,57.방수/욕실수,57.해당면적 세대수,57.현관구조,58.공급/전용,58.방수/욕실수,58.해당면적 세대수,58.현관구조,59.공급/전용,59.방수/욕실수,59.해당면적 세대수,59.현관구조,60.공급/전용,60.방수/욕실수,60.해당면적 세대수,60.현관구조
0,1303대(세대당 1.44),"HT005, HF002",세종시 세종시 마음로 181,세종시 세종시 고운동 1400,8층/18층,146%,16%,"95B㎡, 95A㎡, 111㎡, 140",(주)라인건설,044-865-9978,127.227757,36.513918,95.49/72.49,3개/2개,192세대,계단식,95.49/72.49,3개/2개,129세대,계단식,111.37/84.98,4개/2개,297세대,계단식,140.41/107.69,3개/2개,282세대,계단식,가락10단지이지더원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,769대(세대당 1.26),"HT005, HF002",세종시 세종시 마음로 152,세종시 세종시 고운동 1409,21층/29층,178%,13%,"81㎡, 99㎡, 113",중흥토건(주),044-862-0046,127.230605,36.511722,81.84/59.99,3개/2개,323세대,계단식,99.15/73.71,3개/2개,145세대,계단식,113.97/84.98,3개/2개,139세대,계단식,,,,,가락11단지중흥S-클래스에듀카운티,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,623대(세대당 1.27),"HT005, HF002",세종시 세종시 마음로 182,세종시 세종시 고운동 1401,15층/29층,181%,14%,"79B㎡, 80A㎡, 112",(주)대광건영,044-863-6736,127.230433,36.513855,79.95/59.46,3개/2개,61세대,계단식,80.59/59.65,3개/2개,159세대,계단식,112.77/84.6,4개/2개,270세대,계단식,,,,,가락13단지대광로제비앙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,478대(세대당 1.64),"HT005, HF002",세종시 세종시 마음안로 131,세종시 세종시 고운동 1403,23층/28층,175%,16%,"131㎡, 131T㎡, 144A㎡, 144B㎡, 144T㎡, 148",(주)우남건설,044-868-4768,127.232032,36.51388,131.85/107.59,3개/2개,176세대,계단식,131.85/107.59,3개/2개,8세대,계단식,144.81/117.89,4개/2개,78세대,계단식,144.81/117.89,4개/2개,6세대,계단식,가락14단지우남퍼스트빌2차,144.81/117.89,4개/2개,4세대,계단식,148.29/120.6,4개/2개,18세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,454대(세대당 1.24),"HT005, HF002",세종시 세종시 마음안로 190,세종시 세종시 고운동 1393,12층/18층,145%,17%,"80㎡, 98㎡, 112",중흥건설(주),044-868-0288,127.236874,36.516699,80.63/59.99,3개/2개,140세대,계단식,98.19/73.98,3개/2개,105세대,계단식,112.42/84.98,3개/2개,120세대,계단식,,,,,가락15단지중흥S-클래스파크뷰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,572대(세대당 1.23),"HT005, HF002",세종시 세종시 만남로 187,세종시 세종시 고운동 1395,15층/29층,178%,14%,"83A㎡, 83C㎡, 84B㎡, 111A㎡, 111B㎡, 111C",주식회사한양,044-866-7684,127.23859,36.51588,83.51/59.99,3개/2개,121세대,계단식,83.63/59.99,3개/2개,4세대,계단식,84.01/59.83,3개/2개,46세대,계단식,111.78/84.87,3개/2개,204세대,계단식,가락16단지한양수자인에듀그린,111.49/84.86,3개/2개,84세대,계단식,111.89/84.87,3개/2개,4세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,630대(세대당 1.24),"HT005, HF002",세종시 세종시 마음안1로 167,세종시 세종시 고운동 1386,11층/18층,146%,16%,"82A㎡, 82B㎡, 82C",세종종합건설(주),044-862-2502,127.236771,36.518077,82.83/59.91,3개/2개,381세대,계단식,82.75/59.98,3개/2개,90세대,계단식,82.62/59.98,3개/2개,37세대,계단식,,,,,가락17단지골드클래스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1218대(세대당 1.82),"HT005, HF002",세종시 세종시 마음안1로 139,세종시 세종시 고운동 2112,7층/18층,139%,21%,"130A㎡, 130C㎡, 132B㎡, 132D㎡, 132E㎡, 163㎡, 179",현대엔지니어링(주),044-868-9442,127.234852,36.520969,130.93/100.89,3개/2개,476세대,계단식,130.58/100.68,3개/2개,18세대,계단식,132.23/100.36,3개/2개,126세대,계단식,132.08/100.63,3개/2개,18세대,계단식,가락18단지힐스테이트,132.21/100.72,3개/2개,18세대,계단식,163.02/123.02,3개/2개,4세대,계단식,179.44/134.08,4개/3개,7세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1540대(세대당 1.54),"HT005, HF002",세종시 세종시 밝은뜰로 15,세종시 세종시 고운동 2111,5층/18층,139%,18%,"79A㎡, 79B㎡, 84A㎡, 109A㎡, 109T2㎡, 109T3㎡, 110T1㎡, 111T4㎡, 135B㎡, 135C㎡, 135D㎡, 135A㎡, 136E㎡, 162A","(주)라인건설, (주)동양건설산업",044-866-9052,127.233097,36.523632,79.12/59.65,3개/2개,254세대,계단식,79.12/59.65,3개/2개,16세대,계단식,84.43/64.17,3개/2개,16세대,계단식,109.87/84.95,3개/2개,307세대,계단식,가락19단지파라곤,109.89/84.86,3개/2개,22세대,계단식,109.44/84.88,4개/2개,22세대,계단식,110.19/84.66,3개/2개,41세대,계단식,111.12/84.69,4개/2개,22세대,계단식,135.77/105.61,4개/2개,64세대,계단식,135.77/105.61,4개/2개,55세대,계단식,135.77/105.61,4개/2개,55세대,계단식,135.77/105.61,4개/2개,52세대,계단식,136.06/105.77,4개/2개,68세대,계단식,162.51/125.01,4개/2개,4세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1006대(세대당 1.81),"HT005, HF002",세종시 세종시 마음로 67,세종시 세종시 고운동 1729,8층/18층,139%,20%,"132A㎡, 132A-1㎡, 137A㎡, 137B㎡, 137A-1㎡, 149A㎡, 151A㎡, 157A㎡, 157B",(주)원건설,044-864-3363,127.23337,36.504058,132.34/107.14,4개/2개,358세대,계단식,132.34/107.14,4개/2개,30세대,계단식,137.24/111.34,4개/2개,106세대,계단식,137.31/111.3,4개/2개,33세대,계단식,가락1단지세종힐데스하임,137.24/111.34,4개/2개,8세대,계단식,149.19/120.42,3개/2개,5세대,계단식,151.93/122.65,3개/2개,1세대,계단식,157.61/128.21,3개/2개,13세대,계단식,157.7/128.2,3개/2개,1세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,833대(세대당 1.21),"HT005, HF002",세종시 세종시 만남로 190,세종시 세종시 고운동 1396,14층/25층,179%,15%,"79A㎡, 79B㎡, 111",(주)호반건설,044-868-8607,127.240433,36.516291,79.26/59.83,3개/2개,113세대,계단식,79.18/59.98,3개/2개,85세대,계단식,111.1/84.98,3개/2개,490세대,계단식,,,,,가락20단지베르디움,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,497대(세대당 1.22),"HT005, HF002",세종시 세종시 마음안로 221,세종시 세종시 고운동 1390,19층/27층,176%,14%,"111A㎡, 111B㎡, 129",(주)모아종합건설,044-868-1528,127.240546,36.518002,111.07/84.97,3개/2개,164세대,계단식,111.4/84.96,3개/2개,104세대,계단식,129.83/99.94,3개/2개,138세대,계단식,,,,,가락21단지에듀센트럴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,611대(세대당 1.38),"HT005, HF002",세종시 세종시 마음로 322,세종시 세종시 고운동 1387,16층/23층,173%,15%,"111㎡, 125",중흥토건(주),044-867-6848,127.240561,36.519505,111.45/84.99,3개/2개,263세대,계단식,125.55/96.14,4개/2개,177세대,계단식,,,,,,,,,가락22단지중흥S클래스에듀힐스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,513대(세대당 1.2),"HT005, HF002",세종시 세종시 마음안로 47,세종시 세종시 고운동 1708,8층/18층,146%,18%,"79A㎡, 79B㎡, 79C㎡, 111A㎡, 111B",(주)호반건설,044-866-1078,127.236206,36.50624,79.79/59.86,3개/2개,128세대,계단식,79.01/59.93,3개/2개,46세대,계단식,79.25/59.99,3개/2개,32세대,계단식,111.28/84.98,3개/2개,158세대,계단식,가락3단지베르디움,111.49/84.94,3개/2개,60세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,395대(세대당 1.29),"HT005, HF002",세종시 세종시 마음안로 48,세종시 세종시 고운동 1703,8층/17층,141%,14%,"80A㎡, 81B㎡, 106C",(주)라인산업,044-868-6338,127.236943,36.507426,80.61/59.98,3개/2개,107세대,계단식,81.63/59.96,3개/2개,87세대,계단식,106.5/79.59,4개/2개,111세대,계단식,,,,,가락4단지이지더원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,865대(세대당 1.3),"HT005, HF002",세종시 세종시 마음안로 34,세종시 세종시 고운동 1705,5층/29층,180%,16%,"82C㎡, 83D㎡, 84A㎡, 84B㎡, 108A㎡, 109B",(주)유승종합건설,044-868-6456,127.238663,36.507301,82.88/59.93,3개/2개,22세대,계단식,83.59/59.84,3개/2개,14세대,계단식,84.37/59.9,3개/2개,257세대,계단식,84.21/59.9,3개/2개,142세대,계단식,가락5단지유승한내들,108.47/84.65,3개/2개,147세대,계단식,109.42/84.89,3개/2개,81세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1097대(세대당 1.23),"HT005, HF002",세종시 세종시 마음로 14,세종시 세종시 고운동 1728,13층/29층,168%,14%,"83A㎡, 83B㎡, 84C","중흥종합건설(주), (주)시티이엔씨",044-862-6333,127.239138,36.503303,83.08/59.68,3개/2개,582세대,계단식,83.5/59.72,3개/2개,151세대,계단식,84.03/59.99,3개/2개,154세대,계단식,,,,,가락6단지프라디움,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,715대(세대당 1.25),"HT005, HF002",세종시 세종시 마음안로 13,세종시 세종시 고운동 1724,15층/25층,176%,16%,"110A㎡, 110C㎡, 110B",중흥종합건설(주),044-863-7333,127.239554,36.504743,110.46/84.99,3개/2개,428세대,계단식,110.51/84.36,3개/2개,74세대,계단식,110.7/84.99,3개/2개,70세대,계단식,,,,,가락7단지프라디움,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1183대(세대당 1.2),"HT005, HF002",세종시 세종시 만남로 92,세종시 세종시 고운동 1706,15층/25층,175%,15%,"98A㎡, 98AN㎡, 111A㎡, 111B",한신공영(주) / 이에스산업(주),044-866-8685,127.240067,36.507572,98.18/74.77,3개/2개,610세대,계단식,98.2/74.77,3개/2개,2세대,계단식,111.59/84.98,3개/2개,220세대,계단식,111.47/84.89,3개/2개,150세대,계단식,가락8단지고운뜰파크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,696대(세대당 1.29),"HT005, HF002",세종시 세종시 마음로 151,세종시 세종시 고운동 1408,13층/17층,146%,16%,"83B㎡, 84A㎡, 112A㎡, 113B",신동아건설(주),044-866-5839,127.228674,36.51128,83.64/59.99,3개/2개,62세대,계단식,84.13/59.97,3개/2개,234세대,계단식,112.65/84.98,3개/2개,185세대,계단식,113.07/84.98,3개/2개,57세대,계단식,가락9단지파밀리에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,619대(세대당 1.79),"HT005, HF002",세종시 세종시 마음로 49,세종시 세종시 고운동 1731,6층/17층,139%,22%,"130A㎡, 130A-1㎡, 131B㎡, 135A㎡, 135B㎡, 135A-1㎡, 137A㎡, 137A-1㎡, 142㎡, 153㎡, 256㎡, 261","(주)원건설,(주)허밍건설",044-865-0943,127.234778,36.502964,130.36/107.14,4개/2개,203세대,계단식,130.36/107.14,4개/2개,17세대,계단식,131.75/107.69,4개/2개,6세대,계단식,135.27/111.3,4개/2개,31세대,계단식,가락마을2단지,135.27/111.3,4개/2개,20세대,계단식,135.27/111.3,4개/2개,3세대,계단식,137.27/113.18,4개/2개,32세대,계단식,137.27/113.18,5개/2개,6세대,계단식,142.95/115.31,3개/2개,6세대,계단식,153.1/122.79,3개/2개,8세대,계단식,256.36/205.37,3개/3개,6세대,계단식,261.23/209.18,3개/3개,7세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,711대(세대당 0.77),"HT001, HF001",세종시 세종시 금남면 용포2길 70,세종시 세종시 금남면 용포리 320,11층/15층,213%,19%,"60㎡, 77",(주)두진공영,044-868-0100,127.278772,36.462976,60.53/43,2개/1개,645세대,계단식,77.24/59.86,3개/1개,268세대,계단식,,,,,,,,,금남두진리버빌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
